Crm Cd Desc,DATE OCC,Premis Desc,Status Desc,LAT,LON
VEHICLE - STOLEN,2024-03-25T00:00:00Z,STREET,Invest Cont,34.0504,-118.2409
VEHICLE - STOLEN,2024-03-05T00:00:00Z,STREET,Invest Cont,34.0536,-118.2455
VEHICLE - STOLEN,2024-04-01T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.0415,-118.262
VEHICLE - STOLEN,2024-01-01T00:00:00Z,PARKING LOT,Invest Cont,34.0494,-118.2599
VEHICLE - STOLEN,2024-02-14T00:00:00Z,STREET,Invest Cont,34.0684,-118.2449
VEHICLE - STOLEN,2024-01-02T00:00:00Z,STREET,Invest Cont,34.0725,-118.2489
VEHICLE - STOLEN,2024-01-20T00:00:00Z,STREET,Invest Cont,34.0408,-118.2644
VEHICLE - STOLEN,2024-01-29T00:00:00Z,STREET,Invest Cont,34.0542,-118.2566
VEHICLE - STOLEN,2024-03-24T00:00:00Z,STREET,Invest Cont,34.0542,-118.2415
VEHICLE - STOLEN,2024-02-14T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.0409,-118.2609
VEHICLE - STOLEN,2024-03-12T00:00:00Z,STREET,Invest Cont,34.0509,-118.2515
VEHICLE - STOLEN,2024-03-05T00:00:00Z,STREET,Invest Cont,34.0524,-118.2467
VEHICLE - STOLEN,2024-03-24T00:00:00Z,STREET,Invest Cont,34.0404,-118.2504
VEHICLE - STOLEN,2024-03-29T00:00:00Z,STREET,Invest Cont,34.0487,-118.2588
VEHICLE - STOLEN,2024-03-01T00:00:00Z,STREET,Invest Cont,34.0358,-118.2594
VEHICLE - STOLEN,2024-01-26T00:00:00Z,STREET,Invest Cont,34.0349,-118.263
VEHICLE - STOLEN,2024-02-17T00:00:00Z,PARKING LOT,Invest Cont,34.047,-118.2647
VEHICLE - STOLEN,2024-03-21T00:00:00Z,STREET,Invest Cont,34.0369,-118.2583
VEHICLE - STOLEN,2024-01-18T00:00:00Z,STREET,Invest Cont,34.0494,-118.2599
VEHICLE - STOLEN,2024-03-27T00:00:00Z,STREET,Invest Cont,34.0377,-118.26220000000001
VEHICLE - STOLEN,2024-01-29T00:00:00Z,STREET,Invest Cont,34.0627,-118.2359
VEHICLE - STOLEN,2024-02-29T00:00:00Z,STREET,Invest Cont,34.048,-118.2542
VEHICLE - STOLEN,2024-02-01T00:00:00Z,STREET,Invest Cont,34.0408,-118.2428
VEHICLE - STOLEN,2024-02-14T00:00:00Z,STREET,Invest Cont,34.037,-118.2688
VEHICLE - STOLEN,2024-01-30T00:00:00Z,PARKING LOT,Adult Arrest,34.0533,-118.2361
VEHICLE - STOLEN,2024-03-07T00:00:00Z,PARKING LOT,Invest Cont,34.0506,-118.2371
VEHICLE - STOLEN,2024-03-22T00:00:00Z,STREET,Invest Cont,34.0383,-118.2633
VEHICLE - STOLEN,2024-02-06T00:00:00Z,STREET,Invest Cont,34.0414,-118.2319
VEHICLE - STOLEN,2024-02-20T00:00:00Z,STREET,Invest Cont,34.0468,-118.2415
VEHICLE - STOLEN,2024-02-22T00:00:00Z,STREET,Invest Cont,34.0462,-118.2371
VEHICLE - STOLEN,2024-02-01T00:00:00Z,PARKING LOT,Invest Cont,34.0473,-118.2601
VEHICLE - STOLEN,2024-03-27T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.051,-118.2445
VEHICLE - STOLEN,2024-01-15T00:00:00Z,PARKING LOT,Invest Cont,34.0444,-118.2628
VEHICLE - STOLEN,2024-02-02T00:00:00Z,STREET,Invest Cont,34.0626,-118.2434
VEHICLE - STOLEN,2024-02-29T00:00:00Z,STREET,Invest Cont,34.0408,-118.2428
VEHICLE - STOLEN,2024-03-16T00:00:00Z,STREET,Invest Cont,34.0736,-118.2312
VEHICLE - STOLEN,2024-01-07T00:00:00Z,STREET,Invest Cont,34.0396,-118.259
VEHICLE - STOLEN,2024-03-18T00:00:00Z,STREET,Invest Cont,34.0462,-118.2585
VEHICLE - STOLEN,2024-01-10T00:00:00Z,PARKING LOT,Invest Cont,34.0606,-118.2446
VEHICLE - STOLEN,2024-03-28T00:00:00Z,STREET,Invest Cont,34.0451,-118.2604
VEHICLE - STOLEN,2024-02-13T00:00:00Z,STREET,Invest Cont,34.0535,-118.256
VEHICLE - STOLEN,2024-01-28T00:00:00Z,STREET,Invest Cont,34.0383,-118.2695
VEHICLE - STOLEN,2024-01-06T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.0409,-118.2609
VEHICLE - STOLEN,2024-03-17T00:00:00Z,STREET,Invest Cont,34.0533,-118.2361
VEHICLE - STOLEN,2024-03-28T00:00:00Z,STREET,Invest Cont,34.0487,-118.2588
VEHICLE - STOLEN,2024-02-24T00:00:00Z,PARKING LOT,Invest Cont,34.0423,-118.2595
VEHICLE - STOLEN,2024-02-17T00:00:00Z,STREET,Invest Cont,34.0483,-118.2631
VEHICLE - STOLEN,2024-01-25T00:00:00Z,STREET,Invest Cont,34.0606,-118.2439
VEHICLE - STOLEN,2024-01-08T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.0409,-118.2609
VEHICLE - STOLEN,2024-01-11T00:00:00Z,STREET,Invest Cont,34.0404,-118.2504
VEHICLE - STOLEN,2024-01-29T00:00:00Z,PARKING LOT,Invest Cont,34.0452,-118.2569
VEHICLE - STOLEN,2024-01-20T00:00:00Z,PARKING UNDERGROUND/BUILDING,Invest Cont,34.0503,-118.2434
VEHICLE - STOLEN,2024-01-11T00:00:00Z,STREET,Invest Cont,34.0423,-118.2561
VEHICLE - STOLEN,2024-03-09T00:00:00Z,STREET,Invest Cont,34.0383,-118.2327
VEHICLE - STOLEN,2024-02-03T00:00:00Z,STREET,Invest Cont,34.0462,-118.2585
VEHICLE - STOLEN,2024-03-28T00:00:00Z,PARKING LOT,Invest Cont,34.0419,-118.2669
VEHICLE - STOLEN,2024-02-04T00:00:00Z,STREET,Invest Cont,34.0395,-118.2657
VEHICLE - STOLEN,2024-03-02T00:00:00Z,PARKING LOT,Invest Cont,34.0452,-118.2569
VEHICLE - STOLEN,2024-03-15T00:00:00Z,PARKING LOT,Invest Cont,34.0487,-118.2588
VEHICLE - STOLEN,2024-03-12T00:00:00Z,STREET,Invest Cont,34.0563,-118.2309
VEHICLE - STOLEN,2024-03-27T00:00:00Z,STREET,Invest Cont,34.0401,-118.2357
VEHICLE - STOLEN,2024-03-10T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.0423,-118.2561
VEHICLE - ATTEMPT STOLEN,2024-02-15T00:00:00Z,PARKING LOT,Invest Cont,34.0607,-118.2494
VEHICLE - STOLEN,2024-01-20T00:00:00Z,PARKING LOT,Invest Cont,34.0432,-118.2504
VEHICLE - STOLEN,2024-03-17T00:00:00Z,STREET,Invest Cont,34.0389,-118.2643
VEHICLE - STOLEN,2024-02-01T00:00:00Z,PARKING LOT,Invest Cont,34.0455,-118.2381
VEHICLE - STOLEN,2024-03-09T00:00:00Z,STREET,Invest Cont,34.043,-118.2571
VEHICLE - STOLEN,2024-03-23T00:00:00Z,PARKING LOT,Invest Cont,34.0445,-118.2558
VEHICLE - STOLEN,2024-01-11T00:00:00Z,STREET,Invest Cont,34.0355,-118.2714
VEHICLE - STOLEN,2024-03-18T00:00:00Z,STREET,Adult Arrest,34.0698,-118.2476
VEHICLE - STOLEN,2024-02-16T00:00:00Z,STREET,Invest Cont,34.0522,-118.2538
VEHICLE - STOLEN,2024-03-17T00:00:00Z,STREET,Invest Cont,34.0663,-118.2442
VEHICLE - STOLEN,2024-01-24T00:00:00Z,STREET,Invest Cont,34.0337,-118.261
VEHICLE - STOLEN,2024-03-03T00:00:00Z,STREET,Invest Cont,34.0401,-118.2533
VEHICLE - STOLEN,2024-02-24T00:00:00Z,STREET,Invest Cont,34.0445,-118.2558
VEHICLE - STOLEN,2024-01-01T00:00:00Z,STREET,Invest Cont,34.0459,-118.2579
VEHICLE - STOLEN,2024-02-15T00:00:00Z,STREET,Invest Cont,34.0627,-118.2463
VEHICLE - STOLEN,2024-02-20T00:00:00Z,STREET,Invest Cont,34.0435,-118.2471
VEHICLE - STOLEN,2024-02-13T00:00:00Z,STREET,Invest Cont,34.0445,-118.2523
VEHICLE - STOLEN,2024-03-08T00:00:00Z,PARKING LOT,Invest Cont,34.0468,-118.2415
VEHICLE - STOLEN,2024-03-11T00:00:00Z,STREET,Invest Cont,34.0363,-118.2672
VEHICLE - STOLEN,2024-01-11T00:00:00Z,STREET,Invest Cont,34.0473,-118.2566
VEHICLE - STOLEN,2024-01-06T00:00:00Z,STREET,Invest Cont,34.0511,-118.2597
VEHICLE - STOLEN,2024-02-17T00:00:00Z,GARAGE/CARPORT,Adult Arrest,34.0481,-118.2507
VEHICLE - STOLEN,2024-01-25T00:00:00Z,STREET,Invest Cont,34.0368,-118.2656
VEHICLE - STOLEN,2024-02-01T00:00:00Z,STREET,Invest Cont,34.0446,-118.249
VEHICLE - STOLEN,2024-02-13T00:00:00Z,STREET,Invest Cont,34.0342,-118.2636
VEHICLE - STOLEN,2024-02-23T00:00:00Z,PARKING LOT,Invest Cont,34.043,-118.2606
VEHICLE - STOLEN,2024-03-31T00:00:00Z,PARKING LOT,Invest Cont,34.048,-118.2577
VEHICLE - STOLEN,2024-02-03T00:00:00Z,ALLEY,Invest Cont,34.0615,-118.2412
VEHICLE - STOLEN,2024-02-29T00:00:00Z,STREET,Invest Cont,34.0558,-118.2436
VEHICLE - STOLEN,2024-01-31T00:00:00Z,STREET,Invest Cont,34.068600000000004,-118.2266
VEHICLE - STOLEN,2024-03-08T00:00:00Z,STREET,Invest Cont,34.0607,-118.2405
VEHICLE - STOLEN,2024-03-07T00:00:00Z,PARKING LOT,Invest Cont,34.0487,-118.2588
VEHICLE - STOLEN,2024-01-23T00:00:00Z,STREET,Invest Cont,34.0437,-118.2582
VEHICLE - STOLEN,2024-03-24T00:00:00Z,STREET,Invest Cont,34.0389,-118.2643
VEHICLE - STOLEN,2024-03-02T00:00:00Z,STREET,Invest Cont,34.0333,-118.2657
VEHICLE - STOLEN,2024-01-30T00:00:00Z,STREET,Invest Cont,34.0453,-118.236
VEHICLE - STOLEN,2024-02-21T00:00:00Z,STREET,Invest Cont,34.0575,-118.2545
VEHICLE - ATTEMPT STOLEN,2024-02-18T00:00:00Z,PARKING LOT,Invest Cont,34.0456,-118.2504
VEHICLE - STOLEN,2024-01-14T00:00:00Z,STREET,Invest Cont,34.0735,-118.23
VEHICLE - STOLEN,2024-03-15T00:00:00Z,STREET,Invest Cont,34.0446,-118.245
VEHICLE - STOLEN,2024-03-31T00:00:00Z,STREET,Invest Cont,34.0462,-118.2371
VEHICLE - STOLEN,2024-02-01T00:00:00Z,STREET,Invest Cont,34.0363,-118.2672
VEHICLE - STOLEN,2024-03-23T00:00:00Z,STREET,Invest Cont,34.0459,-118.2545
VEHICLE - STOLEN,2024-02-24T00:00:00Z,STREET,Invest Cont,34.0537,-118.2523
VEHICLE - STOLEN,2024-03-20T00:00:00Z,STREET,Invest Cont,34.0316,-118.2641
VEHICLE - STOLEN,2024-02-03T00:00:00Z,PARKING LOT,Invest Cont,34.0487,-118.2627
VEHICLE - STOLEN,2024-02-18T00:00:00Z,STREET,Invest Cont,34.0519,-118.2531
VEHICLE - STOLEN,2024-02-29T00:00:00Z,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Invest Cont,34.0459,-118.2352
VEHICLE - STOLEN,2024-02-08T00:00:00Z,STREET,Invest Cont,34.0358,-118.2345
VEHICLE - STOLEN,2024-01-31T00:00:00Z,STREET,Invest Cont,34.0444,-118.2628
VEHICLE - STOLEN,2024-02-25T00:00:00Z,STREET,Invest Cont,34.0635,-118.2426
VEHICLE - STOLEN,2024-02-17T00:00:00Z,STREET,Invest Cont,34.0627,-118.2341
VEHICLE - STOLEN,2024-02-04T00:00:00Z,STREET,Invest Cont,34.0472,-118.2326
VEHICLE - STOLEN,2024-01-20T00:00:00Z,STREET,Invest Cont,34.0458,-118.2614
VEHICLE - STOLEN,2024-03-04T00:00:00Z,STREET,Invest Cont,34.0547,-118.2505
VEHICLE - STOLEN,2024-02-02T00:00:00Z,STREET,Invest Cont,34.0461,-118.2674
VEHICLE - STOLEN,2024-02-16T00:00:00Z,STREET,Invest Cont,34.0437,-118.2582
VEHICLE - STOLEN,2024-01-23T00:00:00Z,STREET,Invest Cont,34.0658,-118.2366
VEHICLE - STOLEN,2024-01-12T00:00:00Z,PARKING LOT,Invest Cont,34.0481,-118.2472
VEHICLE - STOLEN,2024-02-14T00:00:00Z,STREET,Adult Other,34.0515,-118.2424
VEHICLE - STOLEN,2024-03-24T00:00:00Z,STREET,Invest Cont,34.043,-118.2606
VEHICLE - STOLEN,2024-01-07T00:00:00Z,STREET,Invest Cont,34.0401,-118.2633
VEHICLE - STOLEN,2024-03-21T00:00:00Z,PARKING LOT,Invest Cont,34.0628,-118.2286
VEHICLE - STOLEN,2024-01-03T00:00:00Z,PARKING LOT,Invest Cont,34.0612,-118.2417
VEHICLE - STOLEN,2024-02-26T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.0607,-118.2494
VEHICLE - ATTEMPT STOLEN,2024-01-07T00:00:00Z,PARKING LOT,Invest Cont,34.0627,-118.2463
VEHICLE - STOLEN,2024-03-16T00:00:00Z,PARKING LOT,Invest Cont,34.0401,-118.2533
VEHICLE - STOLEN,2024-01-14T00:00:00Z,STREET,Invest Cont,34.0342,-118.2636
VEHICLE - STOLEN,2024-01-08T00:00:00Z,STREET,Invest Cont,34.0662,-118.2476
VEHICLE - ATTEMPT STOLEN,2024-02-10T00:00:00Z,STREET,Invest Cont,34.0435,-118.2366
VEHICLE - STOLEN,2024-03-20T00:00:00Z,PARKING LOT,Invest Cont,34.0615,-118.247
VEHICLE - STOLEN,2024-02-03T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.0363,-118.2672
VEHICLE - STOLEN,2024-03-01T00:00:00Z,STREET,Invest Cont,34.0443,-118.2364
VEHICLE - STOLEN,2024-02-18T00:00:00Z,PARKING LOT,Invest Cont,34.048,-118.2577
VEHICLE - STOLEN,2024-03-20T00:00:00Z,STREET,Invest Cont,34.0455,-118.2379
VEHICLE - STOLEN,2024-03-29T00:00:00Z,STREET,Invest Cont,34.0532,-118.2425
VEHICLE - STOLEN,2024-03-01T00:00:00Z,STREET,Invest Cont,34.0581,-118.2371
VEHICLE - STOLEN,2024-01-24T00:00:00Z,STREET,Invest Cont,34.0488,-118.2483
VEHICLE - STOLEN,2024-03-14T00:00:00Z,PARKING UNDERGROUND/BUILDING,Invest Cont,34.0389,-118.2643
VEHICLE - STOLEN,2024-02-07T00:00:00Z,STREET,Invest Cont,34.0542,-118.2566
VEHICLE - STOLEN,2024-01-21T00:00:00Z,PARKING LOT,Invest Cont,34.0396,-118.259
VEHICLE - STOLEN,2024-02-07T00:00:00Z,PARKING LOT,Invest Cont,34.0367,-118.2615
VEHICLE - STOLEN,2024-03-16T00:00:00Z,GARAGE/CARPORT,Invest Cont,34.0408,-118.2644
VEHICLE - STOLEN,2024-01-13T00:00:00Z,STREET,Invest Cont,34.0364,-118.2677
VEHICLE - STOLEN,2024-01-22T00:00:00Z,STREET,Invest Cont,34.0457,-118.2665
VEHICLE - STOLEN,2024-01-02T00:00:00Z,PARKING LOT,Invest Cont,34.0383,-118.2695
VEHICLE - STOLEN,2024-01-07T00:00:00Z,STREET,Invest Cont,34.0673,-118.2354
VEHICLE - STOLEN,2024-01-06T00:00:00Z,STREET,Adult Arrest,34.0416,-118.255
